entity_isin,assets_count,priority_assets_count,sensitive_locations,biodiversity_importance,high_ecosystem_integrity,decline_in_ecosystem_integrity,physical_water_risk,ecosystem_services_provision_importance,proximity_to_protected_areas,proximity_to_kbas,species_rarity_weighted_richness,species_threat_abatement,species_threat_abatement_marine,proximity_to_mangroves,ecosystem_integrity_index,biodiversity_intactness_index,ocean_health_index,trend_in_ecosystem_integrity_index,deforestation_hotspots,water_availability,water_pollution,drought,riverine_flood,coastal_flood,cumulative_impact_on_oceans,critical_areas_for_biodiversity_and_ncp,areas_of_importance_for_biodiversity_and_climate
AEA000201011,9,2,0.5458,0.0332,0.304,0.3163,0.7688,0.574,0.0243,0.0383,0.0266,0.0044,0.3569,0.0,0.0,0.304,,0.3163,0.0,0.875,0.5625,0.5695,0.7278,0.4069,0.6022,0.7303,0.3111
AEA000701010,1,0,0.5343,0.0001,0.3609,0.0547,0.7996,0.5343,0.0,0.0,,0.0001,0.9688,0.0,0.0,0.3609,,0.0547,0.0,1.0,0.5,,0.7996,0.4257,0.541,0.7857,0.2828
AEA000801018,2,1,0.606,0.0155,0.2843,0.0738,0.7996,0.606,0.0,0.0,0.0206,0.0001,0.9688,0.0,0.0,0.2843,,0.0738,0.0,1.0,0.5,,0.7996,0.4257,0.4562,1.0,0.2121
AEA001001014,1,1,0.8497,0.0178,0.4562,0.1835,0.8497,1.0,0.0,0.0,0.0237,0.0,0.2673,0.0,0.0,0.4562,,0.1835,0.0,1.0,0.5,,0.7996,0.4257,,1.0,
AEA001901015,1,1,0.7983,0.2056,0.7983,0.0962,0.7996,0.3596,0.3869,0.0,0.0206,0.0001,0.2673,0.0,0.0,0.3646,0.7983,0.0962,0.0,1.0,0.5,,0.7996,0.4257,0.5766,0.5071,0.2121
AEA002001013,4,1,0.6706,0.0101,0.1525,0.3928,0.7996,0.6706,0.0,0.0,0.0265,0.0004,0.1505,0.0,0.0,0.3051,,0.3928,0.0,1.0,0.5,,0.7996,0.4257,0.659,0.8929,0.1111
AEA002301017,2,0,0.5404,0.0184,0.3198,0.3308,0.7996,0.5404,0.0,0.0,0.0244,0.0006,0.0337,0.0,0.0,0.3198,,0.3308,0.0,1.0,0.5,,0.7996,0.4257,0.7721,1.0,0.0808
AEA003001012,1,1,0.8497,0.0004,0.4363,0.1753,0.8497,1.0,0.0,0.0,,0.0004,0.5493,0.0,0.0,0.4363,,0.1753,0.0,1.0,0.5,,0.7996,0.4257,,1.0,
AEA003201018,1,1,0.7983,0.2722,0.7983,0.0,0.7996,0.5606,0.3524,0.0,0.0318,0.0001,0.5493,0.0,0.0,0.3348,0.7983,,0.0,1.0,0.5,,0.7996,0.4257,0.7626,1.0,0.1212
AEA005901011,1,0,0.3204,0.1159,0.3022,0.3204,0.7996,0.1538,0.1434,0.3464,0.0301,0.0013,0.0337,0.0,0.0,0.3022,,0.3204,0.0,1.0,0.5,,0.7996,0.4257,0.785,0.1538,
AEA006101017,12,8,0.6897,0.0194,0.5414,0.1547,0.7802,0.5718,0.0147,0.0,0.0218,0.0007,0.5494,0.0,0.0014,0.4242,0.7983,0.1547,0.0,1.0,0.5,,0.7652,0.3808,0.4868,0.766,0.2262
AEA006501018,1,0,0.5454,0.0142,0.4853,0.0761,0.8497,0.5454,0.0,0.0,0.0224,0.0009,0.0187,0.0,0.0,0.4853,,0.0761,0.0,1.0,0.5,,0.7996,0.4257,,1.0,0.0909
AEA007501017,1,1,0.7333,0.0017,0.6553,0.2126,0.8497,0.7333,0.0,0.0,,0.0017,0.2673,0.0,0.0006,0.6553,,0.2126,0.0,1.0,0.5,,0.7996,0.4257,,0.7333,
AED000201015,2,0,0.5372,0.0287,0.2886,0.4419,0.7996,0.5372,0.0,0.0222,0.0317,0.001,0.0337,0.0,0.0,0.2886,,0.4419,0.0,1.0,0.5,,0.7996,0.4257,0.7099,0.9583,0.1162
